highalch,members,name,examine,id,value,icon,lowalch,limit
1200.0,True,A powdered wig,A big do about nothing.,10392,2000,A powdered wig.png,800.0,4.0
1.0,True,Abyssal ashes,A heap of ashes.,25775,1,Abyssal ashes.png,1.0,7500.0
156000.0,True,Abyssal bludgeon,Elements of deceased Abyssal Sires have been fused together.,13263,260000,Abyssal bludgeon.png,104000.0,8.0
2520.0,True,Abyssal bracelet(5),Makes using the Abyss just slightly safer.,11095,4200,Abyssal bracelet.png,1680.0,10000.0
69000.0,True,Abyssal dagger,Something sharp from the body of a defeated Abyssal Sire.,13265,115001,Abyssal dagger.png,46000.0,8.0
69001.0,True,Abyssal dagger (p),Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,115002,Abyssal dagger (p).png,46000.0,8.0
69001.0,True,Abyssal dagger (p+),Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,115003,Abyssal dagger (p+).png,46001.0,8.0
69002.0,True,Abyssal dagger (p++),Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,115004,Abyssal dagger (p++).png,46001.0,8.0
72000.0,True,Abyssal whip,A weapon from the Abyss.,4151,120001,Abyssal whip.png,48000.0,70.0
1.0,True,Accursed sceptre (au),A mighty sceptre used in long forgotten battles.,27676,1,Accursed sceptre (au).png,1.0,
1.0,True,Accursed sceptre (u),"A mighty sceptre from long forgotten battles, corrupted by the power of Vet'ion.",27662,1,Accursed sceptre (u).png,1.0,
2.0,True,Achey tree logs,These logs are longer than normal.,2862,4,Achey tree logs.png,1.0,13000.0
3.0,True,Acorn,Plant this in a plantpot of soil to grow a sapling.,5312,6,Acorn 5.png,2.0,200.0
1.0,False,Adamant 2h axe,A woodcutter's axe.,28211,1,Adamant 2h axe.png,1.0,
3840.0,False,Adamant 2h sword,A two handed sword.,1317,6400,Adamant 2h sword.png,2560.0,125.0
48.0,False,Adamant arrow,Arrows with adamant heads.,890,80,Adamant arrow 5.png,32.0,11000.0
48.0,True,Adamant arrow(p),Venomous-looking arrows.,891,80,Adamant arrow(p) 5.png,32.0,11000.0
48.0,True,Adamant arrow(p+),Venomous-looking arrows.,5620,80,Adamant arrow(p+) 5.png,32.0,11000.0
48.0,True,Adamant arrow(p++),Venomous-looking arrows.,5626,80,Adamant arrow(p++) 5.png,32.0,11000.0
24.0,True,Adamant arrowtips,I can make some arrows with these.,43,40,Adamant arrowtips.png,16.0,10000.0
768.0,False,Adamant axe,A powerful axe.,1357,1280,Adamant axe.png,512.0,40.0
2496.0,False,Adamant battleaxe,A vicious looking axe.,1371,4160,Adamant battleaxe.png,1664.0,125.0
34.0,True,Adamant bolts,Adamantite crossbow bolts.,9143,58,Adamant bolts 5.png,23.0,11000.0
34.0,True,Adamant bolts (p),Some poisoned adamantite bolts.,9290,58,Adamant bolts (p) 5.png,23.0,11000.0
34.0,True,Adamant bolts (p+),Some poisoned adamantite bolts.,9297,58,Adamant bolts (p+) 5.png,23.0,11000.0
34.0,True,Adamant bolts (p++),Super poisoned adamantite bolts.,9304,58,Adamant bolts (p++) 5.png,23.0,11000.0
1.0,True,Adamant bolts(unf),Unfeathered adamantite crossbow bolts.,9380,1,Adamant bolts(unf) 5.png,1.0,13000.0
1152.0,True,Adamant boots,These will protect my feet.,4129,1920,Adamant boots.png,768.0,125.0
57.0,True,Adamant brutal,Blunt adamantite arrow... ouch.,4798,95,Adamant brutal 5.png,38.0,11000.0
864.0,True,Adamant cane,A diamond topped cane.,12377,1440,Adamant cane.png,576.0,4.0
2880.0,False,Adamant chainbody,A series of connected metal rings.,1111,4800,Adamant chainbody.png,1920.0,125.0
720.0,True,Adamant claws,A set of fighting claws.,3100,1200,Adamant claws.png,480.0,125.0
1060.0,True,Adamant crossbow,An adamantite crossbow.,9183,1767,Adamant crossbow.png,706.0,70.0
1039.0,True,Adamant crossbow (u),An unstrung adamantite crossbow.,9463,1733,Adamant crossbow (u).png,693.0,10000.0
480.0,False,Adamant dagger,Short and deadly.,1211,800,Adamant dagger.png,320.0,125.0
480.0,True,Adamant dagger(p),A very dangerous poisoned dagger.,1227,800,Adamant dagger(p).png,320.0,125.0
480.0,True,Adamant dagger(p+),A very dangerous poisoned dagger.,5676,800,Adamant dagger(p+).png,320.0,125.0
480.0,True,Adamant dagger(p++),A very dangerous poisoned dagger.,5694,800,Adamant dagger(p++).png,320.0,125.0
39.0,True,Adamant dart,A deadly throwing dart with an adamant tip.,810,65,Adamant dart.png,26.0,11000.0
21.0,True,Adamant dart tip,A deadly-looking dart tip made of adamant - needs feathers for flight.,823,36,Adamant dart tip.png,14.0,20000.0
39.0,True,Adamant dart(p),A deadly poisoned dart with an adamant tip.,816,65,Adamant dart(p).png,26.0,11000.0
39.0,True,Adamant dart(p+),A deadly poisoned dart with an adamant tip.,5633,65,Adamant dart(p+).png,26.0,11000.0
39.0,True,Adamant dart(p++),A deadly poisoned dart with an adamant tip.,5640,65,Adamant dart(p++).png,26.0,11000.0
6000.0,True,Adamant dragon mask,Do I look scary?,23270,10000,Adamant dragon mask.png,4000.0,4.0
2112.0,False,Adamant full helm,A full face helmet.,1161,3520,Adamant full helm.png,1408.0,125.0
2112.0,False,Adamant full helm (g),Adamant full helmet with gold trim.,2613,3520,Adamant full helm (g).png,1408.0,8.0
2112.0,False,Adamant full helm (t),Adamant full helmet with trim.,2605,3520,Adamant full helm (t).png,1408.0,8.0
4800.0,False,Adamant gold-trimmed set (lg),"A set containing a full helm, platebody, legs and kiteshield.",13020,8000,Adamant gold-trimmed set (lg).png,3200.0,8.0
4800.0,False,Adamant gold-trimmed set (sk),"A set containing a full helm, platebody, skirt and kiteshield.",13022,8000,Adamant gold-trimmed set (sk).png,3200.0,8.0
3840.0,True,Adamant halberd,An adamant halberd.,3200,6400,Adamant halberd.png,2560.0,125.0
1248.0,True,Adamant hasta,"An adamant-tipped, one-handed hasta.",11375,2080,Adamant hasta.png,832.0,125.0
1248.0,True,Adamant hasta(p),"A poison-tipped, one-handed adamantite hasta.",11407,2080,Adamant hasta(p).png,832.0,125.0
1248.0,True,Adamant hasta(p+),"A poison-tipped, one-handed adamantite hasta.",11410,2080,Adamant hasta(p+).png,832.0,125.0
1248.0,True,Adamant hasta(p++),"A poison-tipped, one-handed adamantite hasta.",11412,2080,Adamant hasta(p++).png,832.0,125.0
2112.0,False,Adamant helm (h1),An adamant helmet with a heraldic design.,10296,3520,Adamant helm (h1).png,1408.0,70.0
2112.0,False,Adamant helm (h2),An adamant helmet with a heraldic design.,10298,3520,Adamant helm (h2).png,1408.0,70.0
2112.0,False,Adamant helm (h3),An adamant helmet with a heraldic design.,10300,3520,Adamant helm (h3).png,1408.0,70.0
2112.0,False,Adamant helm (h4),An adamant helmet with a heraldic design.,10302,3520,Adamant helm (h4).png,1408.0,70.0
2112.0,False,Adamant helm (h5),An adamant helmet with a heraldic design.,10304,3520,Adamant helm (h5).png,1408.0,70.0
96.0,True,Adamant javelin,An adamant tipped javelin.,829,160,Adamant javelin.png,64.0,11000.0
264.0,True,Adamant javelin heads,Needs a shaft.,19578,440,Adamant javelin heads 5.png,176.0,10000.0
96.0,True,Adamant javelin(p),An adamant tipped javelin.,835,160,Adamant javelin(p).png,64.0,11000.0
96.0,True,Adamant javelin(p+),An adamant tipped javelin.,5646,160,Adamant javelin(p+).png,64.0,11000.0
96.0,True,Adamant javelin(p++),An adamant tipped javelin.,5652,160,Adamant javelin(p++).png,64.0,11000.0
3264.0,False,Adamant kiteshield,A large metal shield.,1199,5440,Adamant kiteshield.png,2176.0,125.0
3264.0,False,Adamant kiteshield (g),Adamant kiteshield with gold trim.,2611,5440,Adamant kiteshield (g).png,2176.0,8.0
3264.0,False,Adamant kiteshield (t),Adamant kiteshield with trim.,2603,5440,Adamant kiteshield (t).png,2176.0,8.0
39.0,True,Adamant knife,A finely balanced throwing knife.,867,66,Adamant knife.png,26.0,11000.0
39.0,True,Adamant knife(p),A finely balanced throwing knife.,875,66,Adamant knife(p).png,26.0,11000.0
39.0,True,Adamant knife(p+),A finely balanced throwing knife.,5659,66,Adamant knife(p+).png,26.0,7000.0
39.0,True,Adamant knife(p++),A finely balanced throwing knife.,5666,66,Adamant knife(p++).png,26.0,7000.0
1920.0,False,Adamant longsword,A razor sharp longsword.,1301,3200,Adamant longsword.png,1280.0,125.0
864.0,False,Adamant mace,A spiky mace.,1430,1440,Adamant mace.png,576.0,125.0
1152.0,False,Adamant med helm,A medium sized helmet.,1145,1920,Adamant med helm.png,768.0,125.0
1920.0,False,Adamant pickaxe,Used for mining.,1271,3200,Adamant pickaxe.png,1280.0,40.0
9984.0,False,Adamant platebody,Provides excellent protection.,1123,16640,Adamant platebody.png,6656.0,125.0
9984.0,False,Adamant platebody (g),Adamant platebody with gold trim.,2607,16640,Adamant platebody (g).png,6656.0,8.0
9984.0,False,Adamant platebody (h1),Adamant platebody with a heraldic design.,23392,16640,Adamant platebody (h1).png,6656.0,8.0
9984.0,False,Adamant platebody (h2),Adamant platebody with a heraldic design.,23395,16640,Adamant platebody (h2).png,6656.0,8.0
9984.0,False,Adamant platebody (h3),Adamant platebody with a heraldic design.,23398,16640,Adamant platebody (h3).png,6656.0,8.0
9984.0,False,Adamant platebody (h4),Adamant platebody with a heraldic design.,23401,16640,Adamant platebody (h4).png,6656.0,8.0
9984.0,False,Adamant platebody (h5),Adamant platebody with a heraldic design.,23404,16640,Adamant platebody (h5).png,6656.0,8.0
9984.0,False,Adamant platebody (t),Adamant platebody with trim.,2599,16640,Adamant platebody (t).png,6656.0,8.0
3840.0,False,Adamant platelegs,These look pretty heavy.,1073,6400,Adamant platelegs.png,2560.0,125.0
3840.0,False,Adamant platelegs (g),Adamant platelegs with gold trim.,2609,6400,Adamant platelegs (g).png,2560.0,8.0
3840.0,False,Adamant platelegs (t),Adamant platelegs with trim.,2601,6400,Adamant platelegs (t).png,2560.0,8.0
3840.0,False,Adamant plateskirt,Designer leg protection.,1091,6400,Adamant plateskirt.png,2560.0,125.0
3840.0,False,Adamant plateskirt (g),Adamant plateskirt with gold trim.,3475,6400,Adamant plateskirt (g).png,2560.0,8.0
3840.0,False,Adamant plateskirt (t),Adamant plateskirt with trim.,3474,6400,Adamant plateskirt (t).png,2560.0,8.0
1536.0,False,Adamant scimitar,"A vicious, curved sword.",1331,2560,Adamant scimitar.png,1024.0,125.0
4800.0,False,Adamant set (lg),"A set containing a full helm, platebody, legs and kiteshield.",13012,8000,Adamant set (lg).png,3200.0,8.0
4800.0,False,Adamant set (sk),"A set containing a full helm, platebody, skirt and kiteshield.",13014,8000,Adamant set (sk).png,3200.0,8.0
3264.0,False,Adamant shield (h1),A shield with a heraldic design,7334,5440,Adamant shield (h1).png,2176.0,70.0
3264.0,False,Adamant shield (h2),A shield with a heraldic design,7340,5440,Adamant shield (h2).png,2176.0,70.0
3264.0,False,Adamant shield (h3),A shield with a heraldic design,7346,5440,Adamant shield (h3).png,2176.0,70.0
3264.0,False,Adamant shield (h4),A shield with a heraldic design,7352,5440,Adamant shield (h4).png,2176.0,70.0
3264.0,False,Adamant shield (h5),A shield with a heraldic design,7358,5440,Adamant shield (h5).png,2176.0,70.0
1248.0,True,Adamant spear,An adamantite tipped spear.,1245,2080,Adamant spear.png,832.0,125.0
1248.0,True,Adamant spear(p),A poisoned adamantite tipped spear.,1259,2080,Adamant spear(p).png,832.0,125.0
1248.0,True,Adamant spear(p+),A poisoned adamantite tipped spear.,5712,2080,Adamant spear(p+).png,832.0,125.0
1248.0,True,Adamant spear(p++),A poisoned adamantite tipped spear.,5726,2080,Adamant spear(p++).png,832.0,125.0
2304.0,False,Adamant sq shield,A medium square shield.,1183,3840,Adamant sq shield.png,1536.0,125.0
1248.0,False,Adamant sword,A razor sharp sword.,1287,2080,Adamant sword.png,832.0,125.0
105.0,True,Adamant thrownaxe,A finely balanced throwing axe.,804,176,Adamant thrownaxe.png,70.0,11000.0
4800.0,False,Adamant trimmed set (lg),"A set containing a full helm, platebody, legs and kiteshield.",13016,8000,Adamant trimmed set (lg).png,3200.0,8.0
4800.0,False,Adamant trimmed set (sk),"A set containing a full helm, platebody, skirt and kiteshield.",13018,8000,Adamant trimmed set (sk).png,3200.0,8.0
2472.0,False,Adamant warhammer,I don't think it's intended for joinery.,1345,4120,Adamant warhammer.png,1648.0,125.0
384.0,False,Adamantite bar,It's a bar of adamantite.,2361,640,Adamantite bar.png,256.0,10000.0
960.0,True,Adamantite limbs,A pair of adamantite crossbow limbs.,9429,1600,Adamantite limbs.png,640.0,10000.0
27.0,True,Adamantite nails,Keeps things in place fairly permanently.,4823,45,Adamantite nails.png,18.0,13000.0
240.0,False,Adamantite ore,This needs refining.,449,400,Adamantite ore.png,160.0,4500.0
186.0,True,Admiral pie,Much tastier than a normal fish pie.,7198,310,Admiral pie.png,124.0,10000.0
410.0,True,Afro,Wild!,12430,684,Afro.png,273.0,4.0
30.0,True,Agility mix(1),One dose of fishy Agility potion.,11463,50,Agility mix(1).png,20.0,2000.0
60.0,True,Agility mix(2),Two doses of fishy Agility potion.,11461,100,Agility mix(2).png,40.0,2000.0
30.0,True,Agility potion(1),1 dose of Agility potion.,3038,50,Agility potion(1).png,20.0,2000.0
60.0,True,Agility potion(2),2 doses of Agility potion.,3036,100,Agility potion(2).png,40.0,2000.0
90.0,True,Agility potion(3),3 doses of Agility potion.,3034,150,Agility potion(3).png,60.0,2000.0
120.0,True,Agility potion(4),4 doses of Agility potion.,3032,200,Agility potion(4).png,80.0,2000.0
120000.0,True,Ahrim's armour set,"A set containing an Ahrim's hood, robetop, robeskirt and staff.",12881,200000,Ahrim's armour set.png,80000.0,8.0
7800.0,True,Ahrim's hood,Ahrim the Blighted's leather hood.,4708,13000,Ahrim's hood.png,5200.0,15.0
7800.0,True,Ahrim's hood 0,Ahrim the Blighted's leather hood.,4860,13000,Ahrim's hood 0.png,5200.0,15.0
28200.0,True,Ahrim's robeskirt,Ahrim the Blighted's armoured robe skirt.,4714,47000,Ahrim's robeskirt.png,18800.0,15.0
28200.0,True,Ahrim's robeskirt 0,Ahrim the Blighted's armoured robe skirt.,4878,47000,Ahrim's robeskirt 0.png,18800.0,15.0
30000.0,True,Ahrim's robetop,Ahrim the Blighted's armoured robe top.,4712,50000,Ahrim's robetop.png,20000.0,15.0
30000.0,True,Ahrim's robetop 0,Ahrim the Blighted's armoured robe top.,4872,50000,Ahrim's robetop 0.png,20000.0,15.0
51000.0,True,Ahrim's staff,Ahrim the Blighted's quarterstaff.,4710,85000,Ahrim's staff.png,34000.0,15.0
51000.0,True,Ahrim's staff 0,Ahrim the Blighted's quarterstaff.,4866,85000,Ahrim's staff 0.png,34000.0,15.0
9300.0,True,Air battlestaff,It's a slightly magical stick.,1397,15500,Air battlestaff.png,6200.0,18000.0
180.0,True,Air orb,A magic glowing orb.,573,300,Air orb.png,120.0,11000.0
2.0,False,Air rune,One of the 4 basic elemental Runes.,556,4,Air rune.png,1.0,50000.0
2.0,False,Air talisman,A mysterious power emanates from the talisman...,1438,4,Air talisman.png,1.0,11000.0
60.0,False,Air tiara,A tiara infused with the properties of air.,5527,100,Air tiara.png,40.0,40.0
6.0,True,Airtight pot,This is pretty well sealed.,4436,10,Airtight pot.png,4.0,15.0
510.0,True,Ale of the gods,Ale of the gods.,20056,850,Ale of the gods.png,340.0,4.0
1.0,True,Ale yeast,A pot filled with ale yeast.,5767,1,Ale yeast.png,1.0,11000.0
2340.0,True,Amethyst,Maybe I can make something with this.,21347,3900,Amethyst.png,1560.0,13000.0
294.0,True,Amethyst arrow,Arrows with amethyst heads.,21326,490,Amethyst arrow 5.png,196.0,11000.0
294.0,True,Amethyst arrow(p),Venomous-looking arrows.,21332,490,Amethyst arrow(p) 5.png,196.0,11000.0
294.0,True,Amethyst arrow(p+),Venomous-looking arrows.,21334,490,Amethyst arrow(p+) 5.png,196.0,11000.0
294.0,True,Amethyst arrow(p++),Venomous-looking arrows.,21336,490,Amethyst arrow(p++) 5.png,196.0,11000.0
147.0,True,Amethyst arrowtips,I can make some arrows with these.,21350,245,Amethyst arrowtips.png,98.0,10000.0
96.0,True,Amethyst bolt tips,Amethyst bolt tips.,21338,160,Amethyst bolt tips 5.png,64.0,11000.0
144.0,True,Amethyst broad bolts,Crossbow bolts with amethyst broad tips.,21316,240,Amethyst broad bolts 5.png,96.0,11000.0
240.0,True,Amethyst dart,A deadly throwing dart with an amethyst tip.,25849,400,Amethyst dart.png,160.0,11000.0
120.0,True,Amethyst dart tip,A deadly-looking dart tip made of amethyst - needs feathers for flight.,25853,200,Amethyst dart tip.png,80.0,11000.0
240.0,True,Amethyst dart(p),A deadly throwing dart with an amethyst tip.,25851,400,Amethyst dart(p).png,160.0,11000.0
240.0,True,Amethyst dart(p+),A deadly throwing dart with an amethyst tip.,25855,400,Amethyst dart(p+).png,160.0,11000.0
240.0,True,Amethyst dart(p++),A deadly throwing dart with an amethyst tip.,25857,400,Amethyst dart(p++).png,160.0,11000.0
252.0,True,Amethyst javelin,An amethyst tipped javelin.,21318,420,Amethyst javelin.png,168.0,11000.0
912.0,True,Amethyst javelin heads,Needs a shaft.,21352,1520,Amethyst javelin heads 5.png,608.0,10000.0
252.0,True,Amethyst javelin(p),An amethyst tipped javelin.,21320,420,Amethyst javelin(p).png,168.0,7000.0
252.0,True,Amethyst javelin(p+),An amethyst tipped javelin.,21322,420,Amethyst javelin(p+).png,168.0,7000.0
252.0,True,Amethyst javelin(p++),An amethyst tipped javelin.,21324,420,Amethyst javelin(p++).png,168.0,7000.0
3.0,False,Amulet mould,Used to make amulets.,1595,5,Amulet mould.png,2.0,40.0
60.0,False,Amulet of accuracy,It increases my aim.,1478,100,Amulet of accuracy.png,40.0,5.0
27000.0,True,Amulet of avarice,A hauntingly beautiful amulet bearing the shape of a skull.,22557,45000,Amulet of avarice.png,18000.0,8.0
540.0,True,Amulet of bounty,Saves seeds when planting in allotments.,21160,900,Amulet of bounty.png,360.0,10000.0
630.0,True,Amulet of chemistry,Useful when making potions - has the chance of giving an extra dose.,21163,1050,Amulet of chemistry.png,420.0,10000.0
765.0,False,Amulet of defence,An enchanted emerald amulet of protection.,1729,1275,Amulet of defence.png,510.0,125.0
765.0,False,Amulet of defence (t),An enchanted emerald amulet of protection that looks good.,23309,1275,Amulet of defence (t).png,510.0,4.0
10575.0,True,Amulet of eternal glory,A dragonstone amulet with an unlimited supply of magic charges.,19707,17625,Amulet of eternal glory.png,7050.0,5.0
121200.0,True,Amulet of fury,A very powerful onyx amulet.,6585,202000,Amulet of fury.png,80800.0,8.0
10575.0,True,Amulet of glory,A very powerful dragonstone amulet.,1704,17625,Amulet of glory.png,7050.0,10000.0
10575.0,True,Amulet of glory (t),A very powerful dragonstone amulet.,10362,17625,Amulet of glory (t).png,7050.0,5.0
10575.0,True,Amulet of glory (t4),A very powerful dragonstone amulet.,10354,17625,Amulet of glory (t4).png,7050.0,5.0
10575.0,True,Amulet of glory (t6),A very powerful dragonstone amulet.,11964,17625,Amulet of glory (t6).png,7050.0,5.0
10575.0,True,Amulet of glory(4),A dragonstone amulet with 4 magic charges.,1712,17625,Amulet of glory(4).png,7050.0,10000.0
10575.0,True,Amulet of glory(6),A dragonstone amulet with 6 magic charges.,11978,17625,Amulet of glory(6).png,7050.0,10000.0
540.0,False,Amulet of magic,An enchanted sapphire amulet of magic.,1727,900,Amulet of magic.png,360.0,125.0
540.0,False,Amulet of magic (t),An enchanted sapphire amulet of magic.,10366,900,Amulet of magic (t).png,360.0,5.0
2115.0,False,Amulet of power,An enchanted diamond amulet of power.,1731,3525,Amulet of power.png,1410.0,125.0
2415.0,False,Amulet of power (t),An enchanted diamond amulet that looks good.,23354,4025,Amulet of power (t).png,1610.0,5.0
1215.0,False,Amulet of strength,An enchanted ruby amulet.,1725,2025,Amulet of strength.png,810.0,125.0
34800.0,True,Amulet of the damned (full),Heirloom of an ancient family of Morytania.,12851,58001,Amulet of the damned (full).png,23200.0,8.0
121200.0,True,Amulet of torture,A deep sense of torture burns within this powerful amulet.,19553,202000,Amulet of torture.png,80800.0,8.0
12.0,True,Amylase crystal,Good for enhancing a super energy potion.,12640,20,Amylase crystal 5.png,8.0,11000.0
27000.0,True,Ancestral hat,The hat of a powerful sorceress from a bygone era.,21018,45000,Ancestral hat.png,18000.0,8.0
48000.0,True,Ancestral robe bottom,The robe bottoms of a powerful sorceress from a bygone era.,21024,80000,Ancestral robe bottom.png,32000.0,8.0
72000.0,True,Ancestral robe top,The robe top of a powerful sorceress from a bygone era.,21021,120000,Ancestral robe top.png,48000.0,8.0
87000.0,True,Ancestral robes set,"A set containing an Ancestral hat, robe top and robe bottom.",21049,145000,Ancestral robes set.png,58000.0,5.0
9.0,False,Anchovies,Some nicely cooked anchovies.,319,15,Anchovies.png,6.0,15000.0
36.0,False,Anchovy pizza,A pizza with anchovies.,2297,60,Anchovy pizza.png,24.0,10000.0
48.0,True,Ancient blessing,"The misery that is now upon us is but the passing of greed, the bitterness of those who fear the way of progress.",20235,80,Ancient blessing.png,32.0,5.0
2400.0,True,Ancient bracers,Ancient blessed dragonhide vambraces.,12490,4000,Ancient bracers.png,1600.0,8.0
75.0,True,Ancient brew(1),1 dose of Ancient brew.,26346,125,Ancient brew(1).png,50.0,2000.0
90.0,True,Ancient brew(2),2 doses of Ancient brew.,26344,150,Ancient brew(2).png,60.0,2000.0
105.0,True,Ancient brew(3),3 doses of Ancient brew.,26342,175,Ancient brew(3).png,70.0,2000.0
120.0,True,Ancient brew(4),4 doses of Ancient brew.,26340,200,Ancient brew(4).png,80.0,2000.0
24000.0,True,Ancient ceremonial boots,Some ceremonial boots dedicated to an ancient god.,26229,40000,Ancient ceremonial boots.png,16000.0,8.0
24000.0,True,Ancient ceremonial gloves,Some ceremonial gloves dedicated to an ancient god.,26227,40000,Ancient ceremonial gloves.png,16000.0,8.0
48000.0,True,Ancient ceremonial legs,Some ceremonial robes dedicated to an ancient god.,26223,80000,Ancient ceremonial legs.png,32000.0,8.0
30000.0,True,Ancient ceremonial mask,A ceremonial mask dedicated to an ancient god.,26225,50000,Ancient ceremonial mask.png,20000.0,8.0
60000.0,True,Ancient ceremonial top,Some ceremonial robes dedicated to an ancient god.,26221,100000,Ancient ceremonial top.png,40000.0,8.0
3600.0,True,Ancient chaps,Ancient blessed dragonhide chaps.,12494,6000,Ancient chaps.png,2400.0,8.0
1200.0,True,Ancient cloak,An Ancient cloak.,12197,2000,Ancient cloak.png,800.0,8.0
1200.0,True,Ancient coif,Ancient blessed dragonhide coif.,12496,2000,Ancient coif.png,800.0,8.0
3000.0,True,Ancient crozier,An Ancient crozier.,12199,5000,Ancient crozier.png,2000.0,8.0
150000.0,True,Ancient crystal,An ancient crystal containing magical energy.,21804,250000,Ancient crystal.png,100000.0,250.0
7800.0,True,Ancient d'hide body,Ancient blessed dragonhide body armour.,12492,13000,Ancient d'hide body.png,5200.0,8.0
5580.0,True,Ancient d'hide boots,Ancient blessed dragonhide boots.,19921,9300,Ancient d'hide boots.png,3720.0,8.0
17000.0,True,Ancient d'hide shield,Ancient blessed wooden shield covered in dragon leather.,23197,28334,Ancient d'hide shield.png,11333.0,8.0
5700.0,True,Ancient dragonhide set,"A set containing an ancient dragonhide coif, body, chaps and bracers.",13171,9500,Ancient dragonhide set.png,3800.0,8.0
4800000.0,True,Ancient effigy,"A mysterious artifact of ancient times, very precious to emblem traders.",22302,8000000,Ancient effigy.png,3200000.0,250.0
300000.0,True,Ancient emblem,"A mysterious artifact of ancient times, of some value to emblem traders.",21807,500000,Ancient emblem.png,200000.0,250.0
1.0,True,Ancient essence,Pure magical energy filled with a dark power.,27616,1,Ancient essence 500.png,1.0,300000.0
21120.0,False,Ancient full helm,Rune full helmet in the colours of a long-forgotten god.,12466,35200,Ancient full helm.png,14080.0,8.0
750000.0,True,Ancient godsword,"A mysterious, heavy sword.",26233,1250000,Ancient godsword.png,500000.0,
300000.0,True,Ancient hilt,Brimming with potential.,26370,500000,Ancient hilt.png,200000.0,
32640.0,False,Ancient kiteshield,Rune kiteshield in the colours of a long-forgotten god.,12468,54400,Ancient kiteshield.png,21760.0,8.0
600.0,True,Ancient mace,It has ancient goblin symbols on it.,11061,1000,Ancient mace.png,400.0,8.0
2400000.0,True,Ancient medallion,"A mysterious artifact of ancient times, precious to emblem traders.",22299,4000000,Ancient medallion.png,1600000.0,250.0
3000.0,True,Ancient mitre,An Ancient mitre.,12203,5000,Ancient mitre.png,2000.0,8.0
75.0,True,Ancient mix(1),One dose of fishy ancient brew.,26353,125,Ancient mix(1).png,50.0,
90.0,True,Ancient mix(2),Two doses of fishy ancient brew.,26350,150,Ancient mix(2).png,60.0,
